known_beta,bias_level,data_model,percent_ci,mean_ci_width,median_abs_delta,n_reps
-0.2,minimal,Fixed,0.866,-0.06743125140186405,0.013775184425697598,500
-0.2,minimal,xmin,0.802,-0.03230344387957421,0.006985627611051551,500
-0.2,minimal,Biased,0.742,-0.020249730388118666,0.005603281733251378,500
-0.2,moderate,Fixed,0.808,-0.1890275619921689,0.04357722946042729,500
-0.2,moderate,xmin,0.722,-0.07588410820810822,0.021285433477464838,500
-0.2,moderate,Biased,0,-0.018560135991245442,0.04489257266769581,500
-0.2,strong,Fixed,0.7283950617283951,-0.5565155329045403,0.1562775835554287,405
-0.2,strong,xmin,0.682,-0.17548223462727044,0.05282686001183948,500
-0.2,strong,Biased,0,-0.029403011991047123,0.0967467867206514,405
-0.2,extreme,Fixed,0,-0.8712333410210216,0.45708795523921103,1
-0.2,extreme,xmin,0.482,-0.3403594146685877,0.16990072815150567,500
-0.2,extreme,Biased,0,-0.04349190914019832,0.08944074128045619,1
-0.1,minimal,Fixed,0.842,-0.06465311117130303,0.012876915119253582,500
-0.1,minimal,xmin,0.822,-0.03198044785525949,0.006073596568226335,500
-0.1,minimal,Biased,0.822,-0.02020487334709776,0.004388707531564333,500
-0.1,moderate,Fixed,0.832,-0.1652823540487028,0.03458347460147606,500
-0.1,moderate,xmin,0.822,-0.07381530230487209,0.015951555055638965,500
-0.1,moderate,Biased,0.026,-0.01891649532925336,0.022735575281739515,500
-0.1,strong,Fixed,0.7919191919191919,-0.45163372325715045,0.10738816935531247,495
-0.1,strong,xmin,0.798,-0.16112583822608312,0.03179239619587743,500
-0.1,strong,Biased,0.00202020202020202,-0.0283095827925841,0.04871228790768412,495
-0.1,extreme,Fixed,0.6923076923076923,-0.8756319259933152,0.29842545805673715,13
-0.1,extreme,xmin,0.746,-0.3170212148042001,0.08736048920117948,500
-0.1,extreme,Biased,0.07692307692307693,-0.04354741678860644,0.04978752812808272,13
-0.05,minimal,Fixed,0.828,-0.06722344910302488,0.01358870748234052,500
-0.05,minimal,xmin,0.802,-0.038974589518786636,0.009275790759160484,500
-0.05,minimal,Biased,0.76,-0.029140467076212637,0.008728322216506754,500
-0.05,moderate,Fixed,0.894,-0.15564732245495558,0.02992068217203306,500
-0.05,moderate,xmin,0.86,-0.07772960961512793,0.012855364188505275,500
-0.05,moderate,Biased,0.912,-0.024626214624198676,0.00448680685381965,500
-0.05,strong,Fixed,0.862,-0.43420424278938335,0.08291234804797015,500
-0.05,strong,xmin,0.854,-0.16568080013066683,0.029567734241343215,500
-0.05,strong,Biased,0.282,-0.029709569783852155,0.020050202424747393,500
-0.05,extreme,Fixed,0.85,-0.954453894598435,0.17601826154999736,40
-0.05,extreme,xmin,0.834,-0.30407924718004264,0.05615916427545148,500
-0.05,extreme,Biased,0.675,-0.045639520473373205,0.01671170125965674,40
0,minimal,Fixed,0.876,-0.06557173426790101,0.01192699296659518,500
0,minimal,xmin,0.864,-0.032735071540761045,0.005952259211092825,500
0,minimal,Biased,0.846,-0.0206677226238577,0.0038073679506208874,500
0,moderate,Fixed,0.872,-0.16103373424214526,0.02903074525291345,500
0,moderate,xmin,0.872,-0.0767311239418835,0.01358828908242228,500
0,moderate,Biased,0.848,-0.01807971868884702,0.0033450586969560785,500
0,strong,Fixed,0.866,-0.4246174449763615,0.07721634181353468,500
0,strong,xmin,0.864,-0.1565769916037656,0.028273419410360344,500
0,strong,Biased,0.868,-0.02865904989965052,0.004798043844513074,500
0,extreme,Fixed,0.8157894736842105,-0.9600021720628037,0.14349988874518854,38
0,extreme,xmin,0.86,-0.3149897887947444,0.055174190409052026,500
0,extreme,Biased,0.8947368421052632,-0.04567991315375734,0.008070437867927568,38
