known_beta,original_n,pr_scenario,data_model,median_ci_range,median_abs_bias,sd_abs_bias
-0.5,500,01,lambda_trimmed,0.14898351814705826,0.058966166001535036,0.143506819387936
-0.5,500,01,lambda_under,0.06011964341319381,0.035264012354541324,0.020557623484092475
-0.5,500,02,lambda_trimmed,0.23601675197458075,0.11214451359664579,0.1521131406581768
-0.5,500,02,lambda_under,0.08034838600729594,0.15026962319207995,0.02432709577813508
-0.5,500,03,lambda_trimmed,0.35782163232518227,0.18576263024798115,0.16334882073810825
-0.5,500,03,lambda_under,0.12086237235001342,0.2905335370383831,0.04004596746614913
-0.5,500,04,lambda_trimmed,0.5071403299592357,0.2907657408118988,0.20420725826113328
-0.5,500,04,lambda_under,0.19926639310134037,0.3895128730560819,0.0733667478468074
-0.25,500,01,lambda_trimmed,0.07909087310149973,0.02013537174435827,0.018434787842970108
-0.25,500,01,lambda_under,0.05312700671466586,0.019068542304333705,0.013594162093232606
-0.25,500,02,lambda_trimmed,0.12233493518692282,0.04008336090846118,0.03325884888326413
-0.25,500,02,lambda_under,0.05120184769777255,0.07691793633759482,0.0162260249304336
-0.25,500,03,lambda_trimmed,0.20408139920882135,0.06296420413815451,0.05946299129609168
-0.25,500,03,lambda_under,0.06781718033204526,0.1474429816168869,0.022933027339787148
-0.25,500,04,lambda_trimmed,0.34729481739612633,0.11510310062072478,0.10941380551887414
-0.25,500,04,lambda_under,0.12825616202361498,0.1933454902309158,0.04286241562249147
-0.1,500,01,lambda_trimmed,0.0803618592893084,0.01708980159006438,0.016624299686487955
-0.1,500,01,lambda_under,0.05088860549152131,0.011924385567055079,0.009774972898056636
-0.1,500,02,lambda_trimmed,0.1200852937125843,0.023501620161139054,0.026128220814282305
-0.1,500,02,lambda_under,0.04675350026569833,0.03172107482086642,0.01337810937658498
-0.1,500,03,lambda_trimmed,0.19194617242710452,0.04381098447884341,0.04431634763727997
-0.1,500,03,lambda_under,0.058022029378357105,0.05934123384657176,0.017580300344656897
-0.1,500,04,lambda_trimmed,0.30984430805533,0.06980836987007623,0.07862020663191263
-0.1,500,04,lambda_under,0.11592830612408954,0.0804768121840129,0.034403256103653794
0,500,01,lambda_trimmed,0.07758928818253377,0.01353608130296799,0.015740392052342848
0,500,01,lambda_under,0.05080367212626184,0.010674832409657952,0.008039816308313762
0,500,02,lambda_trimmed,0.11872668660686046,0.025232461580925018,0.02277808438075808
0,500,02,lambda_under,0.04825283504381864,0.009480126619585557,0.008284085994078259
0,500,03,lambda_trimmed,0.19081900733695095,0.0333793984011449,0.042124079498401155
0,500,03,lambda_under,0.05878555880761442,0.010359667609392668,0.00988244217650355
0,500,04,lambda_trimmed,0.29478183862061047,0.05383155282579934,0.07349584597094282
0,500,04,lambda_under,0.11083076893917126,0.02248412993588672,0.020544823884146468
-0.5,1000,01,lambda_trimmed,0.12145633665223984,0.04953434127423878,0.14834500938771317
-0.5,1000,01,lambda_under,0.04672811354833051,0.03248350976166242,0.016028712336109766
-0.5,1000,02,lambda_trimmed,0.18877228107856658,0.08765752585990597,0.1231759156087769
-0.5,1000,02,lambda_under,0.06426495977989011,0.14417571933002946,0.018542120168674157
-0.5,1000,03,lambda_trimmed,0.2857770563355778,0.14022993167805517,0.16270101232057213
