known_beta,original_n,bias_level,data_model,median_ci_range,median_abs_bias,sd_abs_bias,n
-0.5,1000,minimal,lambda_trimmed,0.14697001345145905,0.06000062612739687,0.15250858676063506,363
-0.5,1000,minimal,lambda_under,0.042190549481220974,0.01454741160417039,0.00997259809703033,363
-0.5,1000,moderate,lambda_trimmed,0.18456885917661214,0.12051966358917066,0.1909519937794407,341
-0.5,1000,moderate,lambda_under,0.05065856364776711,0.09939027092110703,0.013484148617938386,341
-0.5,1000,strong,lambda_trimmed,0.3119328993662465,0.1968168851445004,0.18414286818699133,319
-0.5,1000,strong,lambda_under,0.06863542990415394,0.2176667740511956,0.019160388067210033,319
-0.5,1000,extreme,lambda_trimmed,0.4642168617550801,0.3826159204721708,0.20928929938934202,325
-0.5,1000,extreme,lambda_under,0.09416226819626294,0.2603004132377852,0.03569845161133735,325
-0.25,1000,minimal,lambda_trimmed,0.051598344607033234,0.011365031998744404,0.010948325608196254,500
-0.25,1000,minimal,lambda_under,0.03884626635037983,0.008988856940363804,0.007747147774168507,500
-0.25,1000,moderate,lambda_trimmed,0.09228577706026832,0.02902268481110555,0.021391984958648136,500
-0.25,1000,moderate,lambda_under,0.03547724861816828,0.05142727297644488,0.011029923983772835,500
-0.25,1000,strong,lambda_trimmed,0.18685475728109138,0.06078226658592131,0.061738776221975086,500
-0.25,1000,strong,lambda_under,0.042841089949301914,0.11400719379208805,0.013821532872179104,500
-0.25,1000,extreme,lambda_trimmed,0.3966324262445329,0.15170171603870192,0.13764456337864314,485
-0.25,1000,extreme,lambda_under,0.06582566173597708,0.13406232332706378,0.022889752644974493,485
-0.1,1000,minimal,lambda_trimmed,0.05291299023388845,0.010487317876419634,0.010276030587822501,500
-0.1,1000,minimal,lambda_under,0.03652043218188959,0.007681812136570286,0.006481169205714389,500
-0.1,1000,moderate,lambda_trimmed,0.0883952295752935,0.01885274085013957,0.016961314990301707,500
-0.1,1000,moderate,lambda_under,0.033843813895163694,0.020771150096789683,0.010011044650449689,500
-0.1,1000,strong,lambda_trimmed,0.17132525053155315,0.036529391120081536,0.04117432778813731,500
-0.1,1000,strong,lambda_under,0.037533589162817044,0.04631762077078004,0.012182516627432617,500
