known_beta,original_n,pr_scenario,data_model,median_ci_range,median_abs_bias,sd_abs_bias
-0.5,500,01,lambda_trimmed,0.1462547454213899,0.04340410976931744,0.03512853745469892
-0.5,500,01,lambda_under,0.09968215829213903,0.04235232849703624,0.02736118739459544
-0.5,500,02,lambda_trimmed,0.2885082743281488,0.1406620963760457,0.07303286585855298
-0.5,500,02,lambda_under,0.10626994905116849,0.18305402855724517,0.0321487571680315
-0.5,500,03,lambda_trimmed,0.4905187839935824,0.2852563436122826,0.14257660073404066
-0.5,500,03,lambda_under,0.1612555978481209,0.342246263409854,0.05612531928434618
-0.5,500,04,lambda_trimmed,0.6806810287803458,0.5625845658814811,0.20493912181155077
-0.5,500,04,lambda_under,0.326309888355395,0.44906074975701615,0.1230046968137375
-0.25,500,01,lambda_trimmed,0.14209540427623124,0.03371062373100975,0.029250015355933714
-0.25,500,01,lambda_under,0.09888345362027963,0.025868208992145744,0.021216513453994508
-0.25,500,02,lambda_trimmed,0.24698708469792882,0.08138045632114718,0.06099857273937528
-0.25,500,02,lambda_under,0.10126224526547178,0.09456778415130175,0.031009908094544264
-0.25,500,03,lambda_trimmed,0.4856767175513651,0.16123234664249525,0.11699196829146613
-0.25,500,03,lambda_under,0.15472506734204475,0.17899567058079882,0.05047826559460829
-0.25,500,04,lambda_trimmed,0.7148858759356258,0.3312593157269595,0.20350302368974796
-0.25,500,04,lambda_under,0.3236184041081917,0.23339968612615344,0.10179459796080872
-0.1,500,01,lambda_trimmed,0.14676112928811302,0.029812982131902768,0.027579199558292165
-0.1,500,01,lambda_under,0.09851446440849923,0.020733187829770988,0.017227130784473448
-0.1,500,02,lambda_trimmed,0.25740104183044377,0.05169487180817311,0.04977499728855514
-0.1,500,02,lambda_under,0.09761633268726264,0.037467504827614635,0.025496169522566222
-0.1,500,03,lambda_trimmed,0.48730338398824957,0.11110361518754333,0.10899806200326542
-0.1,500,03,lambda_under,0.15837002589325658,0.07369554054889703,0.042594325252454435
-0.1,500,04,lambda_trimmed,0.7268066966604834,0.17076270431781404,0.18745937566853885
