known_beta,cutoff,pr_scenario,data_model,median_ci_range,median_abs_bias,sd_abs_bias
-0.5,0.01,01,lambda_trimmed,0.04353036378431774,0.013137414227390481,0.012264178227590107
-0.5,0.01,01,lambda_under,0.020903339459719894,0.030297503016479682,0.0062753510322173705
-0.5,0.01,02,lambda_trimmed,0.04555597254820043,0.016569101529024993,0.01436004942361901
-0.5,0.01,02,lambda_under,0.04662203728081604,0.13003932336485657,0.005862389242098329
-0.5,0.01,03,lambda_trimmed,0.051317839415761124,0.07284921938178104,0.018151634176428476
-0.5,0.01,03,lambda_under,0.0718131575341178,0.24468407515453192,0.009234360332266002
-0.5,0.01,04,lambda_trimmed,0.0819920181492027,0.19664051715135042,0.02278400298076401
-0.5,0.01,04,lambda_under,0.09310569353215145,0.32269097884082376,0.019361800481405168
-0.25,0.01,01,lambda_trimmed,0.03474829724082114,0.007675082401366079,0.00729893988197644
-0.25,0.01,01,lambda_under,0.016607647985028312,0.015970177309273415,0.004955142304214242
-0.25,0.01,02,lambda_trimmed,0.034771053851432324,0.00955880208841059,0.00805810896494788
-0.25,0.01,02,lambda_under,0.018916793678037114,0.06787967518498444,0.004475528123636967
-0.25,0.01,03,lambda_trimmed,0.03333469803992034,0.03576964054234194,0.010756069668704836
-0.25,0.01,03,lambda_under,0.023866956155820768,0.12466470231790852,0.005780152473463069
-0.25,0.01,04,lambda_trimmed,0.03544692834377583,0.09497033580795151,0.010875518502422911
-0.25,0.01,04,lambda_under,0.03207410181627607,0.15845322530268457,0.009611122086652059
-0.1,0.01,01,lambda_trimmed,0.03431303498865924,0.006086333520199112,0.005800601599581415
-0.1,0.01,01,lambda_under,0.016129375853316322,0.006672745796819757,0.004077252805731461
-0.1,0.01,02,lambda_trimmed,0.03265360177691759,0.006765512135397028,0.005576751459777489
-0.1,0.01,02,lambda_under,0.014275056045837134,0.027307318560972592,0.003872816287842092
-0.1,0.01,03,lambda_trimmed,0.029077481431037513,0.013783659217840513,0.007913529134313365
-0.1,0.01,03,lambda_under,0.014246637843924784,0.04991346580189942,0.004226864935695724
-0.1,0.01,04,lambda_trimmed,0.02847131523931478,0.038010952732240984,0.008631267675606723
-0.1,0.01,04,lambda_under,0.02175488768914597,0.06403332504356357,0.00687472973482334
0,0.01,01,lambda_trimmed,0.029836921148631398,0.005655802192735176,0.005453781294562959
0,0.01,01,lambda_under,0.015327256216478947,0.0027937630858065063,0.0028240034340432647
0,0.01,02,lambda_trimmed,0.031223461216610095,0.00594924837367063,0.005310779101085059
0,0.01,02,lambda_under,0.014743142528758336,0.002812017553160927,0.0024673691593886412
0,0.01,03,lambda_trimmed,0.028487963740464292,0.005746829984596668,0.005472097982409793
0,0.01,03,lambda_under,0.013591454875069485,0.002781915762533798,0.0024097905001864237
0,0.01,04,lambda_trimmed,0.027132359772883613,0.00485067461088971,0.004946311761425586
0,0.01,04,lambda_under,0.02114326541821352,0.004044914093072487,0.003777570760614433
-0.5,0.047,01,lambda_trimmed,0.08958025333906022,0.03332371838842557,0.02757735170954204
-0.5,0.047,01,lambda_under,0.020397548984836644,0.02942952245715455,0.006496865232493624
-0.5,0.047,02,lambda_trimmed,0.08486999781032067,0.03332119035059236,0.0286640712464131
