known_beta,cutoff,pr_scenario,data_model,median_ci_range,median_abs_bias,sd_abs_bias
-0.5,0.001,01,lambda_trimmed,0.03220482985892914,0.03687880720612033,0.009634888701893994
-0.5,0.001,01,lambda_under,0.03220482985892914,0.03687880720612033,0.009634888701893994
-0.5,0.001,04,lambda_trimmed,0.10088747221884742,0.38423123806346593,0.03469101721955459
-0.5,0.001,04,lambda_under,0.10088747221884742,0.38423123806346593,0.03469101721955459
-0.25,0.001,01,lambda_trimmed,0.029954966916109826,0.019632991729248664,0.00846878484765409
-0.25,0.001,01,lambda_under,0.029954966916109826,0.019632991729248664,0.00846878484765409
-0.25,0.001,04,lambda_trimmed,0.10065541550285989,0.2043228866629898,0.027510002820386233
-0.25,0.001,04,lambda_under,0.10065541550285989,0.2043228866629898,0.027510002820386233
-0.1,0.001,01,lambda_trimmed,0.02924366235116692,0.008229575788686896,0.006503299317414534
-0.1,0.001,01,lambda_under,0.02924366235116692,0.008229575788686896,0.006503299317414534
-0.1,0.001,04,lambda_trimmed,0.10009496444201273,0.08461393620245898,0.029809600183445622
-0.1,0.001,04,lambda_under,0.10009496444201273,0.08461393620245898,0.029809600183445622
0,0.001,01,lambda_trimmed,0.030774025192029937,0.005801005244157634,0.005314279499268218
0,0.001,01,lambda_under,0.030774025192029937,0.005801005244157634,0.005314279499268218
0,0.001,04,lambda_trimmed,0.0946830727904234,0.01725183326197568,0.016213009661782813
0,0.001,04,lambda_under,0.0946830727904234,0.01725183326197568,0.016213009661782813
-0.5,0.01,01,lambda_trimmed,0.12657439737056603,0.038032632349651985,0.03162064392194476
-0.5,0.01,01,lambda_under,0.0297093702111505,0.038109415572042615,0.009350323077143535
-0.5,0.01,04,lambda_trimmed,0.17416792405215642,0.2919577643389706,0.07666855559811832
-0.5,0.01,04,lambda_under,0.11217647070740222,0.3873872933686636,0.03431472023344956
-0.25,0.01,01,lambda_trimmed,0.1091099710358936,0.025970044160485553,0.021928288526733855
-0.25,0.01,01,lambda_under,0.030059766012131436,0.019623198056124364,0.00879099001815037
-0.25,0.01,04,lambda_trimmed,0.12388612979961657,0.15686550999277785,0.04272433329613583
-0.25,0.01,04,lambda_under,0.09219106020588985,0.21245843213562732,0.02731024215961272
-0.1,0.01,01,lambda_trimmed,0.1040446991355608,0.022054212299593277,0.017920500740429536
-0.1,0.01,01,lambda_under,0.030044345924966506,0.00868124769260973,0.006478017661061757
-0.1,0.01,04,lambda_trimmed,0.11432075766109409,0.06224542962900696,0.03366610607493078
-0.1,0.01,04,lambda_under,0.09667908861751177,0.08343868630481457,0.027857644565096536
0,0.01,01,lambda_trimmed,0.10221440313189889,0.019368360429854528,0.01651051586980672
0,0.01,01,lambda_under,0.03030814217230167,0.005585389212881663,0.004790766603516279
0,0.01,04,lambda_trimmed,0.11542091451447992,0.02214936349205495,0.021328842132888912
0,0.01,04,lambda_under,0.10258240517451406,0.0194723545504896,0.017318713153152036
-0.5,0.1,01,lambda_trimmed,0.5070887659657297,0.21996352685915707,0.17804618113190104
-0.5,0.1,01,lambda_under,0.033654799321430506,0.03803526323301562,0.01126595142674527
-0.5,0.1,04,lambda_trimmed,0.49451697188612775,0.2462097416178666,0.19382693629931208
-0.5,0.1,04,lambda_under,0.11244709396435046,0.3889393804933101,0.03846305516612986
-0.25,0.1,01,lambda_trimmed,0.4216645586557981,0.12664255289155701,0.11770080855761776
-0.25,0.1,01,lambda_under,0.03052541327238642,0.019216406134599406,0.008669351930070663
-0.25,0.1,04,lambda_trimmed,0.41735028376738953,0.15105949629973536,0.12649956923363279
-0.25,0.1,04,lambda_under,0.10050822068289633,0.20446529639547123,0.029273970343713117
-0.1,0.1,01,lambda_trimmed,0.3733252661695723,0.08091943469069612,0.0793526974803639
-0.1,0.1,01,lambda_under,0.030306119190134415,0.008998921059383748,0.006756298812640315
-0.1,0.1,04,lambda_trimmed,0.3614415106733644,0.08375322464216246,0.07623419782111657
-0.1,0.1,04,lambda_under,0.09934208710163187,0.08618294593468373,0.02904554837853555
0,0.1,01,lambda_trimmed,0.34252480468322305,0.06788638694954427,0.06500667126411573
0,0.1,01,lambda_under,0.030918530949346427,0.006098713309896682,0.005190274520776128
0,0.1,04,lambda_trimmed,0.36360449066869005,0.06044174464512997,0.06118868240785592
0,0.1,04,lambda_under,0.09887079463354564,0.018097130236304576,0.017275531841309963
-0.5,1,01,lambda_trimmed,1.0454038873882263,0.3857630613308353,0.3081792715847303
-0.5,1,01,lambda_under,0.04232439559074508,0.03803980607006033,0.01863517133531279
-0.5,1,04,lambda_trimmed,0.9547471250426212,0.3379891352388963,0.35033753033272835
-0.5,1,04,lambda_under,0.07225866050455393,0.35291764669818904,0.04409533595086483
-0.25,1,01,lambda_trimmed,1.2749719213095663,0.4748653192801733,0.48516759843707186
-0.25,1,01,lambda_under,0.04139847508039357,0.021374732670573854,0.018222763466547272
-0.25,1,04,lambda_trimmed,1.4220660539079857,0.45522735032875716,0.4700071118728663
-0.25,1,04,lambda_under,0.11251209163376219,0.1824153207556854,0.05652522909475303
-0.1,1,01,lambda_trimmed,1.1478259251764442,0.4186926097962143,0.596239882080631
-0.1,1,01,lambda_under,0.03730048610863981,0.014347431912250491,0.017005688945035957
-0.1,1,04,lambda_trimmed,1.2413610086417757,0.43654681065399936,0.5593474593002464
-0.1,1,04,lambda_under,0.09130534501673594,0.06416307268503663,0.04601543991703945
0,1,01,lambda_trimmed,1.1291334814161191,0.3492173157407148,0.5236923314023919
0,1,01,lambda_under,0.030987510493999365,0.009702047920024465,0.014750996635383222
0,1,04,lambda_trimmed,1.215036529729035,0.3576209897389417,0.5349548557717199
0,1,04,lambda_under,0.06798354039401511,0.02262507384737272,0.029030073269169586
