known_beta,cutoff,bias_level,data_model,median_ci_range,median_abs_bias,sd_abs_bias,n
-0.5,0.584,minimal,lambda_trimmed,0.021938976487352657,0.007287272996084726,0.006013394836995777,500
-0.5,0.584,minimal,lambda_under,0.01843013070638294,0.010129850324114564,0.0059743522180964225,500
-0.5,0.584,moderate,lambda_trimmed,0.02910707625012987,0.06989904203367564,0.007078796670608641,500
-0.5,0.584,moderate,lambda_under,0.032118000331754826,0.09067948168647716,0.005861039628545121,500
-0.5,0.584,strong,lambda_trimmed,0.04480442374889543,0.18400101830267016,0.00900953831554676,500
-0.5,0.584,strong,lambda_under,0.044679431550994686,0.200282196676388,0.008367199436342797,500
-0.5,0.584,extreme,lambda_trimmed,0.04563721770715351,0.22228594216667816,0.01572569055583246,500
-0.5,0.584,extreme,lambda_under,0.04110369678027992,0.228976668834999,0.014622536187956418,500
-0.25,0.584,minimal,lambda_trimmed,0.018376245564075383,0.004920995461718966,0.003972024323218439,500
-0.25,0.584,minimal,lambda_under,0.0162929597793271,0.0058126641001765705,0.004196716819045674,500
-0.25,0.584,moderate,lambda_trimmed,0.017851753943006754,0.036572616152454024,0.005446142211951238,500
-0.25,0.584,moderate,lambda_under,0.016598083364828403,0.04760712264972,0.004760581057348471,500
-0.25,0.584,strong,lambda_trimmed,0.0212867170171622,0.09491748754544108,0.00619472754751769,500
-0.25,0.584,strong,lambda_under,0.020334948732965874,0.10330093563698646,0.005838243474618666,500
-0.25,0.584,extreme,lambda_trimmed,0.028258537647760755,0.11120544739160304,0.00915059989769248,500
-0.25,0.584,extreme,lambda_under,0.02605677634131596,0.11529181137473288,0.008688516188034574,500
-0.1,0.584,minimal,lambda_trimmed,0.0181451708057154,0.0034426152844166114,0.0032696919311737786,500
-0.1,0.584,minimal,lambda_under,0.016149644220898873,0.003518893767798896,0.0031589401989675567,500
-0.1,0.584,moderate,lambda_trimmed,0.016938490269764253,0.014806689562782444,0.0047157547589100676,500
-0.1,0.584,moderate,lambda_under,0.014582832626989936,0.019369959639202405,0.004150939729602203,500
-0.1,0.584,strong,lambda_trimmed,0.016476861213246055,0.03783834084364884,0.004995654320970852,500
-0.1,0.584,strong,lambda_under,0.01563566612185928,0.04156513370296838,0.0045984981861232925,500
-0.1,0.584,extreme,lambda_trimmed,0.023130441970591026,0.04515117861702106,0.00698183146593106,500
-0.1,0.584,extreme,lambda_under,0.02224114631482056,0.046432434105069094,0.006659131706927354,500
0,0.584,minimal,lambda_trimmed,0.01724801061625224,0.0033658094577570428,0.0030919776216695788,500
0,0.584,minimal,lambda_under,0.015659323946406276,0.002991806168010535,0.0028432390395801113,500
0,0.584,moderate,lambda_trimmed,0.016868357438995493,0.0033463135193161826,0.00300941941507891,500
0,0.584,moderate,lambda_under,0.015193746888280058,0.0030958253818668654,0.0025723412487749495,500
0,0.584,strong,lambda_trimmed,0.016112044191714497,0.0032014094945129,0.002862381735540477,500
0,0.584,strong,lambda_under,0.014895869890921891,0.0030080685743723848,0.0026251854606010655,500
0,0.584,extreme,lambda_trimmed,0.02315320853271864,0.004380836359726227,0.003998287765295264,500
0,0.584,extreme,lambda_under,0.022185881800275142,0.004080024997229334,0.003813548523127589,500
-0.5,1.41,minimal,lambda_trimmed,0.0550142492268732,0.01649698864434604,0.015187499627006109,500
-0.5,1.41,minimal,lambda_under,0.01806374098904487,0.009306638118260435,0.00612963271662031,500
-0.5,1.41,moderate,lambda_trimmed,0.054421477383607,0.01839515239211234,0.0160667957380342,500
-0.5,1.41,moderate,lambda_under,0.03209820309625411,0.09064844211082695,0.006290587525126905,500
-0.5,1.41,strong,lambda_trimmed,0.05950435736154913,0.06196068714381264,0.024576733906007057,500
-0.5,1.41,strong,lambda_under,0.0474104412370161,0.20145580643005945,0.00782632847357687,500
-0.5,1.41,extreme,lambda_trimmed,0.07701002897677683,0.15816319940820164,0.03143965205558726,500
-0.5,1.41,extreme,lambda_under,0.0427313482558907,0.22936993375316084,0.01464196865184621,500
-0.25,1.41,minimal,lambda_trimmed,0.0414038929932614,0.009135296057683609,0.008776684029985196,500
-0.25,1.41,minimal,lambda_under,0.017040532069681202,0.005065757839974802,0.004055359327439981,500
-0.25,1.41,moderate,lambda_trimmed,0.04098685865183366,0.011345977895347609,0.009445863628025054,500
-0.25,1.41,moderate,lambda_under,0.01721791009397136,0.047625947078707806,0.00491990787343926,500
-0.25,1.41,strong,lambda_trimmed,0.038951606469186634,0.030552776212382476,0.012981994582466221,500
-0.25,1.41,strong,lambda_under,0.018866196541726665,0.10435470388252568,0.005391496416825048,500
-0.25,1.41,extreme,lambda_trimmed,0.04695834301182045,0.0733994290298702,0.016263591474028546,500
-0.25,1.41,extreme,lambda_under,0.02553686856351313,0.11567357116897606,0.008671328945453024,500
-0.1,1.41,minimal,lambda_trimmed,0.037455856835956355,0.007453862655516959,0.006564482642101403,500
-0.1,1.41,minimal,lambda_under,0.016443273097624084,0.0033334842133759812,0.003192280900064741,500
-0.1,1.41,moderate,lambda_trimmed,0.03753663426397845,0.007823800591815068,0.006714376536006592,500
-0.1,1.41,moderate,lambda_under,0.014697264031234239,0.019991279722221963,0.0042976971949193424,500
-0.1,1.41,strong,lambda_trimmed,0.03573866202513923,0.012527258242823962,0.008926499908252675,500
-0.1,1.41,strong,lambda_under,0.015485755952181882,0.04233671840416116,0.00443762277556522,500
-0.1,1.41,extreme,lambda_trimmed,0.04052960603148742,0.029331576454284886,0.011179254448576183,500
-0.1,1.41,extreme,lambda_under,0.023382471292780895,0.04675334667204284,0.006352604547714219,500
0,1.41,minimal,lambda_trimmed,0.036650129218628605,0.007406637927413693,0.007035082169499152,500
0,1.41,minimal,lambda_under,0.016112156523179506,0.003110388055160051,0.002887739314288468,500
0,1.41,moderate,lambda_trimmed,0.03741157459882828,0.007150010328630009,0.006518506898297534,500
0,1.41,moderate,lambda_under,0.01461528717043092,0.0028358522684164026,0.0025015748859978804,500
0,1.41,strong,lambda_trimmed,0.03634769232264375,0.006438453172295455,0.006261847372288936,500
0,1.41,strong,lambda_under,0.015505625583889031,0.0027854910917308375,0.002472024094994171,500
0,1.41,extreme,lambda_trimmed,0.036624918532641076,0.006931484011942056,0.005994864880326411,500
0,1.41,extreme,lambda_under,0.022173109136477805,0.004085074602606637,0.0037391816023873863,500
-0.5,3.63,minimal,lambda_trimmed,0.19429123152943908,0.08016973484047296,0.0846438243663684,500
-0.5,3.63,minimal,lambda_under,0.017808031415755987,0.00967898308309001,0.006094055228669393,500
-0.5,3.63,moderate,lambda_trimmed,0.21066369870775747,0.0890125367414002,0.0753077833027391,497
-0.5,3.63,moderate,lambda_under,0.032005728441217296,0.09114864229183689,0.006216521413146195,497
-0.5,3.63,strong,lambda_trimmed,0.19419834671419695,0.08359474064778805,0.07260959252979889,499
-0.5,3.63,strong,lambda_under,0.04609430254911673,0.20130116977816337,0.008405275803161078,499
-0.5,3.63,extreme,lambda_trimmed,0.20631813553070838,0.09810277243393731,0.09143148988632754,500
-0.5,3.63,extreme,lambda_under,0.043965052305313515,0.228069233283727,0.014796829054740538,500
-0.25,3.63,minimal,lambda_trimmed,0.10834433984964137,0.03152681643463667,0.025498340182639394,500
-0.25,3.63,minimal,lambda_under,0.01669264110966788,0.005591321310892863,0.004010107864471637,500
-0.25,3.63,moderate,lambda_trimmed,0.1112038413654734,0.02805203239635007,0.02457410787214983,500
-0.25,3.63,moderate,lambda_under,0.01665531443113452,0.048159383469434686,0.0047057010933334985,500
-0.25,3.63,strong,lambda_trimmed,0.10984136002183512,0.03367561454958226,0.027071436707415228,500
-0.25,3.63,strong,lambda_under,0.01976622305470946,0.1039686085844919,0.005538985879127349,500
-0.25,3.63,extreme,lambda_trimmed,0.11854805006393322,0.04135826144313845,0.030207655538974077,500
-0.25,3.63,extreme,lambda_under,0.028072640886595703,0.11614057833685476,0.009633759334150055,500
-0.1,3.63,minimal,lambda_trimmed,0.0917454353523971,0.018292479944558647,0.016929238300503826,500
-0.1,3.63,minimal,lambda_under,0.01638897631010619,0.0038490952614812154,0.002989418617489973,500
-0.1,3.63,moderate,lambda_trimmed,0.09216320614258469,0.020030900233537555,0.01692497879268193,500
-0.1,3.63,moderate,lambda_under,0.015105851162410158,0.01929832670343104,0.004429945598085545,500
-0.1,3.63,strong,lambda_trimmed,0.09005795651497948,0.01844578365744743,0.017880479471370222,500
-0.1,3.63,strong,lambda_under,0.01477182355281809,0.0415875061213756,0.004416953125619673,500
-0.1,3.63,extreme,lambda_trimmed,0.08785338092811892,0.019801535653900477,0.01855685112349956,500
