known_lambda,original_n,pr_scenario,data_source,median_ci_range,median_abs_bias,sd_abs_bias
-2.5,500,01,bias,0.2719999999999998,0.11691896597357831,0.06256697796906695
-2.5,500,01,censored,0.29800000000000004,0.09863565958110043,0.07093536343504418
-2.5,500,02,bias,0.30600000000000005,0.48741882691866323,0.07697450965661524
-2.5,500,02,censored,0.47899999999999965,0.293945101362898,0.15684525159280704
-2.5,500,03,bias,0.48050000000000004,0.974203152332676,0.124805759061278
-2.5,500,03,censored,0.9065000000000001,0.6282918776925359,0.2813306113191665
-2.5,500,04,bias,1.1665,1.2361104715211173,0.2681090448910383
-2.5,500,04,censored,1.575,1.0792465039388677,0.3387888922221468
-2,500,01,bias,0.17899999999999983,0.07617351263187166,0.04046732424363305
-2,500,01,censored,0.19700000000000006,0.06540271623471372,0.050094392867759484
-2,500,02,bias,0.18599999999999972,0.3250597454796226,0.04464135861235253
-2,500,02,censored,0.31700000000000017,0.1350317887026493,0.08824065378325703
-2,500,03,bias,0.2489999999999999,0.6492146767840332,0.07253457300548874
-2,500,03,censored,0.6589999999999998,0.22709644360401215,0.16597747825169692
-2,500,04,bias,0.472,0.8982974542814306,0.14972393990372374
-2,500,04,censored,1.1839999999999997,0.4054484848632096,0.25206924523298746
-1.5,500,01,bias,0.09249999999999992,0.03197128320273923,0.019949008729575696
-1.5,500,01,censored,0.10699999999999998,0.024391181978807186,0.02284476008168468
-1.5,500,02,bias,0.09199999999999986,0.1416076047753574,0.021189133404868374
-1.5,500,02,censored,0.15500000000000025,0.03693585389967857,0.041093417410859305
-1.5,500,03,bias,0.1060000000000001,0.2970328010756057,0.026845938623158677
-1.5,500,03,censored,0.23799999999999988,0.059142509423319445,0.06496814286122128
-1.5,500,04,bias,0.14900000000000002,0.41242422766293185,0.050875805292573593
-1.5,500,04,censored,0.37950000000000006,0.0922703494523236,0.11859187012141786
-2.5,1000,01,bias,0.18999999999999995,0.11384848232505096,0.046785338972883214
-2.5,1000,01,censored,0.21399999999999997,0.08180847431148441,0.055296552640002994
-2.5,1000,02,bias,0.20799999999999974,0.47644461872582133,0.050779633800908684
-2.5,1000,02,censored,0.36949999999999994,0.23169840244174345,0.13181236075153055
-2.5,1000,03,bias,0.3190000000000002,0.9327433494351152,0.08734023173397806
-2.5,1000,03,censored,0.6959999999999997,0.5511455812199006,0.24543310773034518
-2.5,1000,04,bias,0.7110000000000001,1.2552667305730156,0.17730746852334667
-2.5,1000,04,censored,1.2720000000000002,0.9714208200118468,0.33730563212800846
-2,1000,01,bias,0.12399999999999989,0.07338694258035228,0.030220677974531505
-2,1000,01,censored,0.14549999999999996,0.05216440136269296,0.03761518420654016
-2,1000,02,bias,0.12900000000000023,0.3110198342389231,0.02803880197688663
-2,1000,02,censored,0.258,0.09123461260926113,0.06460842442685574
-2,1000,03,bias,0.16500000000000004,0.6226667704932198,0.05041647198087413
-2,1000,03,censored,0.4630000000000001,0.17857214806572008,0.13789048085792852
-2,1000,04,bias,0.2929999999999999,0.8763819491269395,0.09911961771965833
-2,1000,04,censored,0.8950000000000002,0.3178843065632585,0.21763842332429323
-1.5,1000,01,bias,0.06499999999999995,0.029712410276828805,0.01570264111608912
-1.5,1000,01,censored,0.08000000000000007,0.019389256262901666,0.0192888483079461
-1.5,1000,02,bias,0.06499999999999995,0.13674824650363226,0.014754337653831271
-1.5,1000,02,censored,0.11699999999999999,0.02630667722737312,0.03060909065119651
-1.5,1000,03,bias,0.07299999999999995,0.29147508173320236,0.015514496915416582
-1.5,1000,03,censored,0.17699999999999982,0.04742193362533964,0.055159966499674834
-1.5,1000,04,bias,0.09850000000000003,0.41602816882610216,0.03392346289124942
-1.5,1000,04,censored,0.27300000000000013,0.0666684612462618,0.09465897316468204
-2.5,5000,01,bias,0.08299999999999974,0.10183154107065873,0.020976284627812262
-2.5,5000,01,censored,0.10749999999999993,0.059731182933988825,0.032385874095922966
-2.5,5000,02,bias,0.08899999999999997,0.4513804472924623,0.021505881199913694
-2.5,5000,02,censored,0.21699999999999964,0.14405891896477274,0.07763045427501984
-2.5,5000,03,bias,0.12900000000000023,0.8726445706126453,0.0406571035162086
-2.5,5000,03,censored,0.4594999999999998,0.3062032463719975,0.16075344539182504
-2.5,5000,04,bias,0.262,1.1781669932521917,0.07631888612803943
-2.5,5000,04,censored,0.8650000000000002,0.6448231193174891,0.30474136686356185
-2,5000,01,bias,0.05400000000000005,0.06608039519277553,0.013384349740893964
-2,5000,01,censored,0.07449999999999979,0.029005565593197002,0.02149537945467096
-2,5000,02,bias,0.05500000000000016,0.2965022406195956,0.012826887715982076
-2,5000,02,censored,0.1349999999999998,0.05276991135707898,0.03820492901890453
-2,5000,03,bias,0.06699999999999995,0.585248990308291,0.02191920110505697
-2,5000,03,censored,0.24700000000000022,0.09447382012249328,0.06756028010064907
-2,5000,04,bias,0.10899999999999976,0.8071615357840547,0.043627149383344034
-2,5000,04,censored,0.46050000000000013,0.17095651266020107,0.12275360708859293
-1.5,5000,01,bias,0.028000000000000247,0.028607341854385404,0.007602158766245287
-1.5,5000,01,censored,0.038000000000000034,0.011166529997070573,0.009352663187492272
-1.5,5000,02,bias,0.028000000000000247,0.13415032111568226,0.006310270398919723
-1.5,5000,02,censored,0.05500000000000016,0.014534273565347755,0.013266332663005701
-1.5,5000,03,bias,0.03100000000000014,0.28944959103688583,0.0062660983034451495
-1.5,5000,03,censored,0.08299999999999996,0.021360757464193747,0.02158537897690055
-1.5,5000,04,bias,0.040000000000000036,0.42349268802168716,0.00973470997802868
-1.5,5000,04,censored,0.1329999999999999,0.036777856002882414,0.05319824350590995
