pr_scenario,known_lambda,original_n,median_xmin,mean_xmin,sd_xmin
01,-2.5,500,0.001,0.001,5e-4
01,-2.5,1000,0.001,0.001,4e-4
01,-2.5,5000,0.001,0.002,6e-4
01,-2,500,0.001,0.002,9e-4
01,-2,1000,0.001,0.002,0.001
01,-2,5000,0.002,0.002,0.0011
01,-1.5,500,0.002,0.003,0.0035
01,-1.5,1000,0.002,0.004,0.0049
01,-1.5,5000,0.003,0.004,0.0049
02,-2.5,500,0.002,0.002,0.0013
02,-2.5,1000,0.002,0.003,0.0013
02,-2.5,5000,0.003,0.004,0.0018
02,-2,500,0.003,0.004,0.0029
02,-2,1000,0.004,0.005,0.0032
02,-2,5000,0.006,0.007,0.0044
02,-1.5,500,0.006,0.012,0.0191
02,-1.5,1000,0.008,0.015,0.0241
02,-1.5,5000,0.01,0.016,0.0166
03,-2.5,500,0.003,0.004,0.0031
03,-2.5,1000,0.004,0.005,0.0037
03,-2.5,5000,0.008,0.01,0.0056
03,-2,500,0.01,0.013,0.01
03,-2,1000,0.011,0.015,0.0118
03,-2,5000,0.018,0.023,0.0168
03,-1.5,500,0.023,0.048,0.0993
03,-1.5,1000,0.029,0.064,0.1407
03,-1.5,5000,0.038,0.065,0.0792
04,-2.5,500,0.002,0.004,0.0043
04,-2.5,1000,0.004,0.007,0.0074
04,-2.5,5000,0.014,0.018,0.0143
04,-2,500,0.021,0.029,0.0278
04,-2,1000,0.032,0.045,0.0415
04,-2,5000,0.056,0.07,0.0487
04,-1.5,500,0.083,0.182,0.3423
04,-1.5,1000,0.102,0.223,0.4862
04,-1.5,5000,0.146,0.282,0.4849
