known_beta,bias_level,median_abs_delta,sd_abs_delta
-0.2,minimal,0.003941247800178363,0.0036623862576698396
-0.2,moderate,0.00465593285449542,0.003796053026516488
-0.2,strong,0.008685458033213314,0.007394198048182709
-0.2,extreme,0.019643464564118293,0.017155545141010423
-0.1,minimal,0.0041279675173661115,0.003557193544367261
-0.1,moderate,0.004444365071095677,0.004024110053685653
-0.1,strong,0.008495761312516378,0.007618251702865036
-0.1,extreme,0.02069788530424478,0.016412439115848946
-0.05,minimal,0.010053588040515739,0.0053402280950278274
-0.05,moderate,0.009743141997885913,0.005846975156748031
-0.05,strong,0.01025004551586755,0.009447591731850304
-0.05,extreme,0.022183586305516804,0.018388755527124503
0,minimal,0.0038505321394137824,0.003416070379435003
0,moderate,0.004059243960289109,0.004060515747198557
0,strong,0.007896690286323203,0.00709427869276523
0,extreme,0.01958568599128155,0.01733184588919256
