known_lambda,bias_level,data,percent_ci,mean_ci_width,sd_ci_width
-1.9,minimal,Corrected,0.9385,0.03415749999999983,3.9652623906194577e-4
-1.9,moderate,Corrected,0.90575,0.03418024999999983,4.234439321692711e-4
-1.9,strong,Corrected,0.62425,0.034348999999999866,6.444399318063495e-4
-1.9,extreme,Corrected,0.31025,0.034732249999999985,0.001332667977586675
-2,minimal,Corrected,0.93,0.03816300000000017,4.2498424866293063e-4
-2,moderate,Corrected,0.901,0.038169000000000175,4.249936700935713e-4
-2,strong,Corrected,0.599,0.03832700000000015,7.075108278828836e-4
-2,extreme,Corrected,0.302,0.0386800000000001,0.0015639840299842556
-2.1,minimal,Corrected,0.944,0.04213799999999987,4.13882347043803e-4
-2.1,moderate,Corrected,0.896,0.04216599999999988,4.503883872824866e-4
-2.1,strong,Corrected,0.61,0.04226999999999995,8.163533951247662e-4
-2.1,extreme,Corrected,0.294,0.042628000000000076,0.0017388684040644438
