known_lambda,bias_level,median_abs_delta,sd_abs_delta
-2.1,minimal,0.007785394847465543,0.006761481640560282
-2.1,moderate,0.008589568122052915,0.007747778130261709
-2.1,strong,0.016824738655703442,0.014651762440252935
-2.1,extreme,0.03499000038952671,0.03557357178112124
-2,minimal,0.007021690524904756,0.006175827479214649
-2,moderate,0.007592710995373064,0.006950572581794343
-2,strong,0.015114499739488307,0.013342705275598346
-2,extreme,0.035107099387924556,0.03075966504194674
-1.9,minimal,0.006243750029628625,0.005456963651529638
-1.9,moderate,0.007144198060952789,0.006145209165499658
-1.9,strong,0.012759075559364064,0.011764813720421907
-1.9,extreme,0.029440061485689117,0.02757435626532128
