known_lambda,bias_level,data,percent_ci,mean_ci_width,median_abs_delta,mean_n_obs,N_reps
-1.9,minimal,Biased,0.446,0.03409199999999982,0.01846600674617138,9681.85,500
-1.9,minimal,Fixed,0.96,0.10848399999999998,0.018230037839754965,1073.456,500
-1.9,minimal,xmin,0.75,0.042166,0.012400037861276969,7359.522,500
-1.9,moderate,Biased,0,0.034143999999999834,0.1845332281789971,6533.136,500
-1.9,moderate,Fixed,0.93,0.273,0.04968497479673539,188.312,500
-1.9,moderate,xmin,0.604,0.08460600000000004,0.03385837133597591,1890.666,500
-1.9,strong,Biased,0,0.04226599999999996,0.452878867969451,2064.096,500
-1.9,strong,Fixed,0.934,0.77834,0.14091009385555564,32.65,500
-1.9,strong,xmin,0.53,0.178196,0.08390990528245246,436.196,500
-1.9,extreme,Biased,0,0.07027200000000006,0.5954448686291635,498.6143790849673,306
-1.9,extreme,Fixed,0.9411764705882353,2.2795065359477125,0.39113196730994604,6.444444444444445,306
-1.9,extreme,xmin,0.408,0.347034,0.20390200189892405,117.702,500
-2,minimal,Biased,0.47,0.038134000000000084,0.02019955749044411,9661.864,500
-2,minimal,Fixed,0.944,0.137494,0.025260788083727226,839.142,500
-2,minimal,xmin,0.738,0.04592000000000003,0.013918988132896382,7517.448,500
-2,moderate,Biased,0,0.03852600000000007,0.20753087727387975,6359.644,500
-2,moderate,Fixed,0.948,0.38779800000000003,0.06373867998556815,121.346,500
-2,moderate,xmin,0.518,0.09570000000000004,0.046186281690026365,1819.084,500
-2,strong,Biased,0,0.049649999999999986,0.4999856070807278,1872.8915662650602,498
-2,strong,Fixed,0.95783132530120485,1.38359437751004,0.22350521630750586,17.319277108433734,498
-2,strong,xmin,0.496,0.219266,0.11228735914022703,378.6,500
-2,extreme,Biased,0,0.08718800000000008,0.6362009456897277,421.12820512820514,78
-2,extreme,Fixed,0.9615384615384616,2.7453333333333334,0.642138277924737,4.397435897435898,78
-2,extreme,xmin,0.328,0.386448,0.2917304408192696,117.508,500
-2.1,minimal,Biased,0.428,0.04210999999999986,0.02294212093615955,9644.58,500
-2.1,minimal,Fixed,0.96,0.17203999999999994,0.02925792596080079,653.52,500
-2.1,minimal,xmin,0.702,0.05090000000000003,0.016122265534003866,7451.242,500
-2.1,moderate,Biased,0,0.04309400000000001,0.22765118306773346,6207.468,500
-2.1,moderate,Fixed,0.946,0.546748,0.10150940835034705,77.91,500
-2.1,moderate,xmin,0.518,0.10987600000000002,0.05214352816022538,1684.726,500
-2.1,strong,Biased,0,0.057446000000000004,0.5414051925192522,1716.7665847665849,407
-2.1,strong,Fixed,0.9361179361179361,2.144918918918919,0.3593633277349708,9.855036855036856,407
-2.1,strong,xmin,0.422,0.250072,0.14694279186063397,345.086,500
-2.1,extreme,Biased,0,0.105312,0.6605118978737783,368.2352941176471,17
-2.1,extreme,Fixed,0.8823529411764706,2.9708823529411763,1.028478318317148,2.764705882352941,17
-2.1,extreme,xmin,0.202,0.363276,0.43339060055913814,137.374,500
