M,cutoff_probabilities,n,cutoff_length,cutoff_mass,mean_obs,sd_obs,percent_ci,mean_fixed_ci_width
0.125,10%,1000,0.1485,3.1401712044133514e-5,9683.742,17.10701862061552,0.454,0.03409399999999982
0.125,50%,1000,0.266,1.594960664920488e-4,9683.248,17.54515113438264,0.456,0.03410799999999982
0.125,90%,1000,0.477,8.126231956637778e-4,9682.837,17.532307686463092,0.46,0.034112999999999824
0.125,92.5%,1000,0.518,0.0010226601759712067,9498.616,22.64856510910794,0.482,0.03444599999999987
0.125,93%,1000,0.5282,0.0010797964727089578,9062.33,29.177121249437963,0.579,0.03577500000000018
0.125,94%,1000,0.552,0.0012209731754807087,8148.351,38.83124598393238,0.695,0.037819000000000054
0.125,95%,1000,0.581,0.0014083254615121197,7197.512,44.37565836193369,0.782,0.04020600000000001
0.125,97.5%,1000,0.703,0.002396025413736125,4509.049,50.33808221934484,0.912,0.05153500000000008
0.125,99.0%,1000,0.91,0.004920252331108705,2374.977,42.659046698974244,0.947,0.07192000000000007
0.125,99.5%,1000,1.085,0.008034485735568034,1529.5,35.65957943674611,0.951,0.09036300000000005
0.125,10xM,1000,1.25,0.011922438482912962,1072.51,31.06446363452781,0.946,0.10858999999999998
0.25,10%,1000,0.305,2.3356508729856264e-4,6529.893,47.347220724244316,0,0.03415299999999983
0.25,50%,1000,0.578,0.0013881448541544093,5402.811,50.44037579668207,0,0.03986100000000005
0.25,90%,1000,0.885,0.0045525823747087045,2321.373,44.28377720931136,0.205,0.06922000000000011
0.25,92.5%,1000,1.24,0.011658418262901638,1060.662,31.03022124688496,0.868,0.107112
0.25,93%,1000,1.28,0.012737417067552291,984.299,31.17851341386723,0.913,0.11193399999999998
0.25,94%,1000,1.34,0.014472653078221397,880.249,28.847620078338945,0.91,0.118735
0.25,95%,1000,1.41,0.016680261699152585,777.547,26.272343386668556,0.925,0.127054
0.25,97.5%,1000,1.74,0.029979975817136906,463.027,20.871461110542523,0.942,0.16773899999999994
0.25,99.0%,1000,2.3,0.06526452489001662,231.749,15.086139021982747,0.941,0.24318599999999999
0.25,99.5%,1000,2.85,0.11865538250587376,135.989,11.932781330028229,0.95,0.32640500000000006
0.25,10xM,1000,2.5,0.08234490221574924,187.89,13.204933557965003,0.942,0.273818
0.5,10%,1000,0.625,0.0017262093408820325,1763.867,39.08228160862331,0,0.050785
0.5,50%,1000,1.32,0.013878422168578902,670.945,24.132640952853862,0.001,0.118291
0.5,90%,1000,2.79,0.11182128861554701,136.147,11.134602389415186,0.904,0.31659300000000007
0.5,92.5%,1000,3.1,0.15000176747639696,105.911,10.632409281396532,0.904,0.369057
0.5,93%,1000,3.18,0.16104482896798555,100.622,10.110852849554549,0.901,0.38079300000000005
0.5,94%,1000,3.36,0.18776467045017187,87.242,9.114082647337717,0.923,0.415518
0.5,95%,1000,3.59,0.22583086427721316,74.481,8.645483409467824,0.934,0.456569
0.5,97.5%,1000,4.58,0.4453207447006499,40.911,6.230882995443174,0.944,0.669359
0.5,99.0%,998,6.31,1.0880825052757814,18.435871743486974,4.227648854397848,0.9398797595190381,1.1672014028056112
0.5,99.5%,903,8,2.1086031827784013,10.678848283499446,3.0843403205707522,0.9568106312292359,1.7811528239202659
0.5,10xM,1000,5,0.5687328922383843,32.614,5.757269331041423,0.951,0.785821
1,10%,1000,1.291,0.013044947554707188,254.231,16.026493299767342,0,0.144263
1,50%,1000,3.09,0.14865660650623874,77.165,8.37089283450976,0.539,0.39103
1,90%,956,7.4,1.6966724524371033,12,3.3388087664701,0.9476987447698745,1.6077008368200838
1,92.5%,875,8.37,2.3918753926873477,9.213714285714286,2.8160693325590667,0.936,1.9063645714285715
1,93%,824,8.62,2.59641572717433,8.720873786407767,2.5831966997108577,0.9490291262135923,1.962349514563107
1,94%,747,9.2,3.1132961645774215,7.685408299866131,2.4574314034179565,0.9451137884872824,2.0886921017402944
1,95%,650,9.94,3.8627198705084673,6.636923076923077,2.110328933296548,0.94,2.279272307692308
1,97.5%,249,13.23,8.572131399393738,4.333333333333333,1.4246297387297229,0.9357429718875502,2.59070281124498
1,99.0%,44,19.15,24.036239786229007,2.9318181818181817,0.9976187292568535,0.9772727272727273,3.007
1,99.5%,12,25.25,51.961862369783624,2.5,0.7977240352174656,1,2.9075
1,10xM,628,10,3.928076833054681,6.538216560509555,2.0767117620171636,0.9394904458598726,2.2861480891719745
