known_lambda,original_n,pr_scenario,data_source,count,proportion
-2.5,500,01,bias,500,0.604
-2.5,500,01,censored,500,0.81
-2.5,500,02,bias,499,0
-2.5,500,02,censored,499,0.4709418837675351
-2.5,500,03,bias,482,0
-2.5,500,03,censored,482,0.42323651452282157
-2.5,500,04,bias,392,0.10204081632653061
-2.5,500,04,censored,392,0.3596938775510204
-2.5,1000,01,bias,500,0.382
-2.5,1000,01,censored,500,0.704
-2.5,1000,02,bias,500,0
-2.5,1000,02,censored,500,0.418
-2.5,1000,03,bias,499,0
-2.5,1000,03,censored,499,0.3627254509018036
-2.5,1000,04,bias,451,0.008869179600886918
-2.5,1000,04,censored,451,0.35033259423503327
-2.5,5000,01,bias,500,0.004
-2.5,5000,01,censored,500,0.478
-2.5,5000,02,bias,500,0
-2.5,5000,02,censored,500,0.432
-2.5,5000,03,bias,500,0
-2.5,5000,03,censored,500,0.414
-2.5,5000,04,bias,485,0
-2.5,5000,04,censored,485,0.4061855670103093
-2,500,01,bias,500,0.638
-2,500,01,censored,500,0.79
-2,500,02,bias,500,0
-2,500,02,censored,500,0.626
-2,500,03,bias,498,0
-2,500,03,censored,498,0.6927710843373494
-2,500,04,bias,470,0.00425531914893617
-2,500,04,censored,470,0.6829787234042554
-2,1000,01,bias,500,0.384
-2,1000,01,censored,500,0.71
-2,1000,02,bias,500,0
-2,1000,02,censored,500,0.69
-2,1000,03,bias,499,0
-2,1000,03,censored,499,0.6492985971943888
-2,1000,04,bias,488,0
-2,1000,04,censored,488,0.6885245901639344
-2,5000,01,bias,500,0.002
-2,5000,01,censored,500,0.612
-2,5000,02,bias,500,0
-2,5000,02,censored,500,0.644
-2,5000,03,bias,500,0
-2,5000,03,censored,500,0.658
-2,5000,04,bias,500,0
-2,5000,04,censored,500,0.694
-1.5,500,01,bias,500,0.732
-1.5,500,01,censored,500,0.9
-1.5,500,02,bias,500,0
-1.5,500,02,censored,500,0.85
-1.5,500,03,bias,500,0
-1.5,500,03,censored,500,0.846
-1.5,500,04,bias,500,0
-1.5,500,04,censored,500,0.874
-1.5,1000,01,bias,500,0.592
-1.5,1000,01,censored,500,0.852
-1.5,1000,02,bias,500,0
-1.5,1000,02,censored,500,0.85
-1.5,1000,03,bias,500,0
-1.5,1000,03,censored,500,0.83
-1.5,1000,04,bias,500,0
-1.5,1000,04,censored,500,0.854
-1.5,5000,01,bias,500,0.054
-1.5,5000,01,censored,500,0.788
-1.5,5000,02,bias,500,0
-1.5,5000,02,censored,500,0.806
-1.5,5000,03,bias,500,0
-1.5,5000,03,censored,500,0.806
-1.5,5000,04,bias,500,0
-1.5,5000,04,censored,500,0.79
