h,b,original_n,med_prop,mean_prop,sd_prop
1e-5,1.5,500,0.896,0.89838,0.02923680546610001
1e-5,1.5,1000,0.895,0.8985086666666666,0.02770605845910088
1e-5,1.5,5000,0.8938,0.8982862666666667,0.026509719001338153
1e-4,1.5,500,0.536,0.5556144096064043,0.09729576235889721
1e-4,1.5,1000,0.531,0.5549666666666667,0.09601660106812783
1e-4,1.5,5000,0.5328,0.5548633333333334,0.09563042473141989
0.001,1.5,500,0.18,0.21933108108108107,0.10864467697594025
0.001,1.5,1000,0.18,0.2181101468624833,0.10802210004767178
0.001,1.5,5000,0.1788,0.21785813333333334,0.10772808396095307
0.01,1.5,500,0.05,0.0849662261380323,0.06919433731339426
0.01,1.5,1000,0.046,0.08140653231410702,0.06856906804244021
0.01,1.5,5000,0.0458,0.07964390572390573,0.06770601235284987
