known_lambda,M,cutoff_probabilities,med_lambda_under,med_lambda_fixed,sd_lambda_fixed
-1.9,0.25,10%,-1.715256983,-1.715256983,0.008216256
-1.9,0.25,50%,-1.714941576,-1.75400441,0.009133026
-1.9,0.25,90%,-1.716603087,-1.851745488,0.018240366
-1.9,0.25,92.50%,-1.71477403,-1.877929793,0.025961383
-1.9,0.25,93%,-1.715435355,-1.881805893,0.026884081
-1.9,0.25,94%,-1.71509795,-1.882639862,0.031689971
-1.9,0.25,95%,-1.7160255,-1.882597451,0.033207646
-1.9,0.25,97.50%,-1.715204463,-1.880439326,0.044140393
-1.9,0.25,99.00%,-1.716127045,-1.876414344,0.062679149
-1.9,0.25,99.90%,-1.715549019,-1.833524783,0.164010745
-1.9,0.5,10%,-1.448107212,-1.507151167,0.013158758
-1.9,0.5,50%,-1.448413666,-1.747446274,0.029561136
-1.9,0.5,90%,-1.446902173,-1.84689197,0.077930916
-1.9,0.5,92.50%,-1.448395347,-1.854992268,0.094592445
-1.9,0.5,93%,-1.448103984,-1.855051709,0.099439128
-1.9,0.5,94%,-1.447887593,-1.854462743,0.106027545
-1.9,0.5,95%,-1.446879701,-1.844576988,0.11266736
-1.9,0.5,97.50%,-1.447781179,-1.835908786,0.159534565
-1.9,0.5,99.00%,-1.448699284,-1.749033062,0.272540447
-1.9,0.5,99.90%,-1.457613058,-1.348429758,0.407567436
