known_beta,bias_level,data_model,median_abs_delta,sd_abs_delta
-0.2,minimal,Fixed,0.005356939,0.004425895
-0.2,minimal,xmin,0.006985628,0.00607888
-0.2,minimal,Biased,0.005603282,0.004341792
-0.2,moderate,Fixed,0.013986167,0.013012748
-0.2,moderate,xmin,0.021285433,0.014950714
-0.2,moderate,Biased,0.044892573,0.005110165
-0.2,strong,Fixed,0.064170463,0.057996001
-0.2,strong,xmin,0.05282686,0.040384653
-0.2,strong,Biased,0.098096817,0.008003561
-0.2,extreme,Fixed,0.494270654,0.118677357
-0.2,extreme,xmin,0.169900728,0.083082707
-0.2,extreme,Biased,0.100941912,0.008389237
-0.1,minimal,Fixed,0.00437308,0.003700837
-0.1,minimal,xmin,0.006073597,0.005396667
-0.1,minimal,Biased,0.004388708,0.003646444
-0.1,moderate,Fixed,0.012704383,0.011889199
-0.1,moderate,xmin,0.015951555,0.014450964
-0.1,moderate,Biased,0.022735575,0.005169861
-0.1,strong,Fixed,0.047121252,0.041250751
-0.1,strong,xmin,0.031792396,0.030007185
-0.1,strong,Biased,0.048791468,0.00721147
-0.1,extreme,Fixed,0.204441912,0.183125473
-0.1,extreme,xmin,0.087360489,0.066085139
-0.1,extreme,Biased,0.046557909,0.012074273
-0.05,minimal,Fixed,0.008784483,0.005208897
-0.05,minimal,xmin,0.009275791,0.007143804
-0.05,minimal,Biased,0.008728322,0.004993268
-0.05,moderate,Fixed,0.011999886,0.010727934
-0.05,moderate,xmin,0.012855364,0.012197149
-0.05,moderate,Biased,0.004486807,0.003643267
-0.05,strong,Fixed,0.041921233,0.035055071
-0.05,strong,xmin,0.029567734,0.027325513
-0.05,strong,Biased,0.020050202,0.007731419
-0.05,extreme,Fixed,0.200579576,0.186317854
-0.05,extreme,xmin,0.056159164,0.059021176
-0.05,extreme,Biased,0.017690073,0.01052936
0,minimal,Fixed,0.004059183,0.003412225
0,minimal,xmin,0.005952259,0.005819058
0,minimal,Biased,0.003807368,0.003340845
0,moderate,Fixed,0.012381457,0.009979603
0,moderate,xmin,0.013588289,0.012322542
0,moderate,Biased,0.003345059,0.003066689
0,strong,Fixed,0.038917266,0.03626771
0,strong,xmin,0.028273419,0.026922172
0,strong,Biased,0.004798044,0.004480088
0,extreme,Fixed,0.141935556,0.166528529
0,extreme,xmin,0.05517419,0.062128961
0,extreme,Biased,0.009014938,0.008739523
