known_lambda,bias_level,name,median_abs_delta,sd_abs_delta
-2.1,minimal,Biased,0.02294212093615955,0.010548919229748384
-2.1,minimal,xmin,0.016122265534003866,0.011694105606707332
-2.1,minimal,Fixed,0.02085951561010435,0.010838734788411072
-2.1,moderate,Biased,0.22765118306773346,0.009909982881209744
-2.1,moderate,xmin,0.05214352816022538,0.03294975365871473
-2.1,moderate,Fixed,0.03310131200575461,0.030648302216647792
-2.1,strong,Biased,0.5450300763155038,0.01588022895779479
-2.1,strong,xmin,0.14694279186063397,0.08779046908406248
-2.1,strong,Fixed,0.16537852754085192,0.14214647467539993
-2.1,extreme,Biased,0.6722246108228747,0.023681795590917116
-2.1,extreme,xmin,0.43339060055913814,0.1688982304189513
-2.1,extreme,Fixed,0.9467088103220676,0.3171966878097613
-2,minimal,Biased,0.02020199240149012,0.009554708107321858
-2,minimal,xmin,0.013848895104000225,0.010555284926575632
-2,minimal,Fixed,0.01838127860963301,0.00948974201358583
-2,moderate,Biased,0.20707412540683678,0.009044511286153833
-2,moderate,xmin,0.04445205693546195,0.028551138287680505
-2,moderate,Fixed,0.029479050847212473,0.025493875269337395
-2,strong,Biased,0.4996782266604154,0.014391829326267834
-2,strong,xmin,0.10873381293206641,0.06845649630022478
-2,strong,Fixed,0.10824871838875649,0.0918861225864386
-2,extreme,Biased,0.6385059881463597,0.01985144228891038
-2,extreme,xmin,0.2938187028404098,0.14260381486435916
-2,extreme,Fixed,0.48752615759437923,0.3629154126928159
-1.9,minimal,Biased,0.01784258672210315,0.00850618706229854
-1.9,minimal,xmin,0.012371644695494788,0.00958521835717474
-1.9,minimal,Fixed,0.01617410390709384,0.008616325502786452
-1.9,moderate,Biased,0.18457958228874527,0.008051589313759277
-1.9,moderate,xmin,0.03379142331061269,0.023254746690938417
-1.9,moderate,Fixed,0.024928561201779997,0.019741590787299406
-1.9,strong,Biased,0.45242056245021756,0.01225483409170053
-1.9,strong,xmin,0.0843582004038691,0.05131538106678264
-1.9,strong,Fixed,0.07332019917097865,0.06208831164530144
-1.9,extreme,Biased,0.6003918528073229,0.02081152903557034
-1.9,extreme,xmin,0.20895245789488925,0.11331348620784751
-1.9,extreme,Fixed,0.3334551112335371,0.31170303607546523
