known_lambda,bias_level,name,med_n,sd_n
-1.9,minimal,Fixed,1074.5,30.52703496455977
-1.9,minimal,xmin,7988.5,2225.4779499531005
-1.9,minimal,Biased,9682,18.15661933431724
-1.9,moderate,Fixed,189,14.135142748520162
-1.9,moderate,xmin,1847,701.5872745793665
-1.9,moderate,Biased,6534,48.99917695926505
-1.9,strong,Fixed,33,5.755149301883831
-1.9,strong,xmin,419.5,170.91617319762645
-1.9,strong,Biased,2066,39.25639965442139
-1.9,extreme,Fixed,6,2.114396829509817
-1.9,extreme,xmin,111,53.62780135485989
-1.9,extreme,Biased,499,23.131165317758263
-2,minimal,Fixed,840,28.202137456480642
-2,minimal,xmin,8147.5,2080.3606639908767
-2,minimal,Biased,9662,19.029602084936563
-2,moderate,Fixed,121,11.230964032807353
-2,moderate,xmin,1800,699.6132634397103
-2,moderate,Biased,6360,48.31755826688418
-2,strong,Fixed,17,4.103841979594115
-2,strong,xmin,351,171.56808332096287
-2,strong,Biased,1872.5,38.688617757949835
-2,extreme,Fixed,4,1.6303911058930487
-2,extreme,xmin,101,69.62068669606803
-2,extreme,Biased,422,20.680223927019302
-2.1,minimal,Fixed,654,25.985921886139526
-2.1,minimal,xmin,8119,2133.4888875038005
-2.1,minimal,Biased,9644.5,18.31060229245956
-2.1,moderate,Fixed,77,8.854077556626525
-2.1,moderate,xmin,1663.5,669.8173972175032
-2.1,moderate,Biased,6206,45.82034465134386
-2.1,strong,Fixed,10,2.681099314296492
-2.1,strong,xmin,322,162.97357877508094
-2.1,strong,Biased,1718,39.006467366778175
-2.1,extreme,Fixed,3,0.7524469885568253
-2.1,extreme,xmin,113.5,87.93624788096639
-2.1,extreme,Biased,364,18.780073920796696
